CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0112,Male,0,Yes,No,9,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,No,Month-to-month,No,Mailed check,60.16,541.44,No
CUST0113,Female,0,No,No,71,Yes,No,No,No internet service,No,No internet service,Yes,Yes,No internet service,One year,No,Bank transfer,103.0,7313.0,Yes
CUST0114,Female,0,No,No,53,Yes,No,DSL,Yes,No,Yes,No,No internet service,No internet service,One year,No,Credit card,35.44,1878.32,Yes
CUST0115,Male,1,No,No,51,Yes,No,DSL,Yes,No internet service,Yes,No,No,No internet service,Two year,Yes,Credit card,102.28,5216.28,No
CUST0116,Female,1,Yes,Yes,19,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No internet service,Yes,One year,No,Mailed check,74.03,1406.57,No
CUST0117,Male,0,Yes,Yes,31,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,42.3,1311.3,No
CUST0118,Female,0,No,Yes,13,No,Yes,No,No,No,No internet service,Yes,No internet service,Yes,One year,No,Bank transfer,60.71,789.23,No
CUST0119,Female,0,No,No,49,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Yes,No internet service,Two year,Yes,Credit card,118.8,5821.2,No
CUST0120,Male,0,No,No,27,Yes,No phone service,DSL,Yes,Yes,No internet service,No,Yes,No,One year,Yes,Mailed check,98.36,2655.72,Yes
CUST0121,Female,0,No,No,52,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,No,Yes,One year,No,Credit card,77.51,4030.52,No
CUST0122,Male,0,Yes,Yes,23,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No,No,Month-to-month,Yes,Mailed check,31.52,724.96,No
CUST0123,Female,0,No,No,21,Yes,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Month-to-month,No,Bank transfer,61.78,1297.38,No
CUST0124,Male,0,Yes,No,29,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card,46.31,1342.99,No
CUST0125,Male,0,Yes,No,62,Yes,No phone service,DSL,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Mailed check,27.1,1680.2,Yes
CUST0126,Female,0,No,Yes,3,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,No,No,Month-to-month,No,Mailed check,74.22,222.66,No
CUST0127,Female,0,No,No,58,Yes,No phone service,DSL,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Mailed check,108.92,6317.36,Yes
CUST0128,Male,0,No,Yes,7,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No internet service,Yes,Two year,No,Mailed check,87.56,612.92,No
CUST0129,Female,0,Yes,No,11,Yes,Yes,No,No,No internet service,No,Yes,Yes,Yes,Two year,No,Bank transfer,44.97,494.67,No
CUST0130,Female,0,No,Yes,30,Yes,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card,77.36,2320.8,No
CUST0131,Female,0,No,Yes,33,Yes,No phone service,No,Yes,Yes,No internet service,Yes,No internet service,No,Two year,Yes,Credit card,114.32,3772.56,No
CUST0132,Male,1,Yes,Yes,48,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,92.29,4429.92,No
CUST0133,Male,0,No,No,56,Yes,No,Fiber optic,No,No,Yes,No,Yes,No internet service,Two year,No,Credit card,88.95,4981.2,No
CUST0134,Male,0,Yes,No,25,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No,Yes,One year,No,Electronic check,116.82,2920.5,No
CUST0135,Male,0,No,Yes,17,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,No internet service,No,Two year,Yes,Mailed check,99.89,1698.13,Yes
CUST0136,Male,0,Yes,Yes,37,Yes,No,No,No internet service,No internet service,No,Yes,No,Yes,Two year,No,Bank transfer,33.66,1245.42,No
CUST0137,Male,0,No,No,49,No,No phone service,DSL,No,Yes,No internet service,Yes,No internet service,No,Two year,Yes,Bank transfer,54.76,2683.24,No
CUST0138,Male,0,No,No,7,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,116.51,815.57,No
CUST0139,Male,0,Yes,Yes,40,Yes,No phone service,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,68.97,2758.8,No
CUST0140,Male,0,Yes,No,5,Yes,No phone service,No,No internet service,Yes,Yes,No,No internet service,Yes,Two year,No,Mailed check,31.16,155.8,No
CUST0141,Female,0,No,No,68,No,No,Fiber optic,Yes,No,No,Yes,No internet service,Yes,Two year,No,Bank transfer,65.86,4478.48,No
CUST0142,Male,0,Yes,No,43,Yes,Yes,DSL,No,No,No internet service,No,No internet service,Yes,One year,Yes,Bank transfer,89.7,3857.1,No
CUST0143,Female,0,Yes,No,63,Yes,No,Fiber optic,No,No,No,Yes,No internet service,No internet service,Month-to-month,No,Credit card,119.75,7544.25,No
CUST0144,Female,0,Yes,Yes,28,Yes,No phone service,No,Yes,No internet service,No internet service,No,No,No internet service,Two year,No,Electronic check,52.39,1466.92,No
CUST0145,Female,0,Yes,No,27,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No internet service,No,One year,Yes,Credit card,71.41,1928.07,No
CUST0146,Male,1,No,No,10,Yes,No,No,No internet service,No,No,Yes,No internet service,No,Month-to-month,Yes,Bank transfer,107.97,1079.7,No
CUST0147,Male,0,No,Yes,64,No,No phone service,No,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer,55.53,3553.92,No
CUST0148,Male,0,Yes,Yes,18,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,No internet service,Two year,Yes,Credit card,30.93,556.74,Yes
CUST0149,Male,0,Yes,No,8,Yes,No,DSL,No internet service,No,No internet service,No,Yes,No internet service,Two year,No,Credit card,114.89,919.12,No
CUST0150,Female,0,Yes,No,26,No,No phone service,Fiber optic,No internet service,No,No,No,No,No internet service,Two year,Yes,Bank transfer,68.84,1789.84,Yes
CUST0151,Male,0,Yes,No,33,Yes,No phone service,DSL,No,No internet service,No,No internet service,No,No,Two year,Yes,Credit card,70.28,2319.24,Yes
CUST0152,Male,0,No,No,43,Yes,No,DSL,No,No,No internet service,Yes,No internet service,No internet service,One year,No,Credit card,82.12,3531.16,No
CUST0153,Male,0,No,Yes,67,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,No,No,One year,No,Electronic check,20.35,1363.45,No
CUST0154,Male,0,Yes,Yes,14,Yes,No,DSL,No,No internet service,No internet service,No internet service,No internet service,No,Two year,No,Bank transfer,113.11,1583.54,No
CUST0155,Male,0,Yes,Yes,50,Yes,Yes,DSL,Yes,No internet service,No,Yes,No,Yes,Month-to-month,No,Mailed check,56.15,2807.5,No
CUST0156,Female,0,Yes,No,12,Yes,Yes,Fiber optic,No,No,Yes,Yes,No internet service,Yes,Two year,No,Electronic check,59.69,716.28,No
CUST0157,Male,0,No,No,48,Yes,Yes,Fiber optic,No,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,37.41,1795.68,No
CUST0158,Female,0,Yes,No,69,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card,57.82,3989.58,No
CUST0159,Male,0,No,No,55,Yes,No,DSL,No internet service,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Credit card,100.39,5521.45,Yes
CUST0160,Female,0,Yes,Yes,50,Yes,No phone service,No,No,No,No internet service,No,Yes,Yes,One year,Yes,Mailed check,100.0,5000.0,No
CUST0161,Male,0,No,Yes,36,No,No phone service,DSL,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Credit card,113.58,4088.88,No
CUST0162,Male,1,Yes,No,16,Yes,No phone service,No,Yes,No,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,60.32,965.12,No
CUST0163,Female,0,No,Yes,57,No,No phone service,Fiber optic,No,No,No internet service,Yes,No,No,One year,Yes,Electronic check,90.87,5179.59,No
CUST0164,Female,0,Yes,No,28,Yes,No phone service,No,Yes,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,No,Mailed check,70.72,1980.16,No
CUST0165,Female,0,Yes,No,32,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,100.4,3212.8,No
CUST0166,Male,0,Yes,Yes,59,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No internet service,Two year,No,Mailed check,91.25,5383.75,No
CUST0167,Female,0,No,No,54,Yes,Yes,No,Yes,No,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,56.79,3066.66,No
CUST0168,Male,0,Yes,No,9,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,53.67,483.03,No
CUST0169,Male,0,No,Yes,46,Yes,No,No,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer,45.24,2081.04,No
CUST0170,Female,0,No,No,22,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Mailed check,77.65,1708.3,No
CUST0171,Female,0,Yes,No,20,Yes,No phone service,DSL,No,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer,116.38,2327.6,Yes
CUST0172,Male,1,Yes,Yes,12,Yes,Yes,DSL,Yes,No,No internet service,Yes,No internet service,No internet service,One year,No,Electronic check,40.01,480.12,No
CUST0173,Male,0,Yes,No,32,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,29.53,944.96,No
CUST0174,Female,0,No,Yes,23,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer,31.94,734.62,No
